rule_name,object_id,constraint_type,property,class,expected,actual,severity,description,message,sparql_query
C:301:EQ:Equipment.aggregate:notUsed,urn:uuid:f4f7d8bd-3158-4c07-9111-742acec0bc38,sparql,http://iec.ch/TC57/CIM100#Equipment.aggregate,,SPARQL condition,http://iec.ch/TC57/CIM100#Distribution,Violation,"The attribute is not used for EquivalentBranch, EquivalentShunt and EquivalentInjection.",Not allowed property (attribute).,"
                PREFIX cim: <http://iec.ch/TC57/CIM100#>
                PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
                PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>..."
C:301:EQ:Equipment.aggregate:notUsed,urn:uuid:f4f7d8bd-3158-4c07-9111-742acec0bc38,sparql,http://iec.ch/TC57/CIM100#Equipment.aggregate,,SPARQL condition,test_data/relicapgrid/Instance/Grid/IGM_Belgovia/20220615T2230Z__Belgovia_EQ_1.xml,Violation,"The attribute is not used for EquivalentBranch, EquivalentShunt and EquivalentInjection.",Not allowed property (attribute).,"
                PREFIX cim: <http://iec.ch/TC57/CIM100#>
                PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
                PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>..."
C:301:EQ:Equipment.aggregate:notUsed,urn:uuid:f14f0701-a547-404e-961c-ba70b3221dc5,sparql,http://iec.ch/TC57/CIM100#Equipment.aggregate,,SPARQL condition,http://iec.ch/TC57/CIM100#NamespaceMap,Violation,"The attribute is not used for EquivalentBranch, EquivalentShunt and EquivalentInjection.",Not allowed property (attribute).,"
                PREFIX cim: <http://iec.ch/TC57/CIM100#>
                PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
                PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>..."
C:301:EQ:Equipment.aggregate:notUsed,urn:uuid:f14f0701-a547-404e-961c-ba70b3221dc5,sparql,http://iec.ch/TC57/CIM100#Equipment.aggregate,,SPARQL condition,http://www.w3.org/1999/02/22-rdf-syntax-ns#,Violation,"The attribute is not used for EquivalentBranch, EquivalentShunt and EquivalentInjection.",Not allowed property (attribute).,"
                PREFIX cim: <http://iec.ch/TC57/CIM100#>
                PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
                PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>..."
C:301:EQ:Equipment.aggregate:notUsed,urn:uuid:f14f0701-a547-404e-961c-ba70b3221dc5,sparql,http://iec.ch/TC57/CIM100#Equipment.aggregate,,SPARQL condition,http://iec.ch/TC57/CIM100-European#,Violation,"The attribute is not used for EquivalentBranch, EquivalentShunt and EquivalentInjection.",Not allowed property (attribute).,"
                PREFIX cim: <http://iec.ch/TC57/CIM100#>
                PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
                PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>..."
C:301:EQ:Equipment.aggregate:notUsed,urn:uuid:f14f0701-a547-404e-961c-ba70b3221dc5,sparql,http://iec.ch/TC57/CIM100#Equipment.aggregate,,SPARQL condition,http://iec.ch/TC57/61970-552/ModelDescription/1#,Violation,"The attribute is not used for EquivalentBranch, EquivalentShunt and EquivalentInjection.",Not allowed property (attribute).,"
                PREFIX cim: <http://iec.ch/TC57/CIM100#>
                PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
                PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>..."
C:301:EQ:Equipment.aggregate:notUsed,urn:uuid:f14f0701-a547-404e-961c-ba70b3221dc5,sparql,http://iec.ch/TC57/CIM100#Equipment.aggregate,,SPARQL condition,http://iec.ch/TC57/CIM100#,Violation,"The attribute is not used for EquivalentBranch, EquivalentShunt and EquivalentInjection.",Not allowed property (attribute).,"
                PREFIX cim: <http://iec.ch/TC57/CIM100#>
                PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
                PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>..."
C:301:EQ:Equipment.aggregate:notUsed,urn:uuid:f14f0701-a547-404e-961c-ba70b3221dc5,sparql,http://iec.ch/TC57/CIM100#Equipment.aggregate,,SPARQL condition,/home/kvilgo/GIT/triplets/test_data/relicapgrid/Instance/Grid/IGM_Belgovia/20220615T2230Z__Belgovia_EQ_1.xml,Violation,"The attribute is not used for EquivalentBranch, EquivalentShunt and EquivalentInjection.",Not allowed property (attribute).,"
                PREFIX cim: <http://iec.ch/TC57/CIM100#>
                PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
                PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>..."
C:301:EQ:Equipment.aggregate:notUsed,urn:uuid:15c8a8ad-08d5-4b59-8417-db80e273bd1a,sparql,http://iec.ch/TC57/CIM100#Equipment.aggregate,,SPARQL condition,http://iec.ch/TC57/CIM100#FullModel,Violation,"The attribute is not used for EquivalentBranch, EquivalentShunt and EquivalentInjection.",Not allowed property (attribute).,"
                PREFIX cim: <http://iec.ch/TC57/CIM100#>
                PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
                PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>..."
C:301:EQ:Equipment.aggregate:notUsed,urn:uuid:15c8a8ad-08d5-4b59-8417-db80e273bd1a,sparql,http://iec.ch/TC57/CIM100#Equipment.aggregate,,SPARQL condition,urn:uuid:7e5e27b6-cb5a-4168-88bf-f395a19cbec1,Violation,"The attribute is not used for EquivalentBranch, EquivalentShunt and EquivalentInjection.",Not allowed property (attribute).,"
                PREFIX cim: <http://iec.ch/TC57/CIM100#>
                PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
                PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>..."
C:301:EQ:Equipment.aggregate:notUsed,urn:uuid:15c8a8ad-08d5-4b59-8417-db80e273bd1a,sparql,http://iec.ch/TC57/CIM100#Equipment.aggregate,,SPARQL condition,urn:uuid:d11b06e3-b709-4d45-9b49-188b2089be16,Violation,"The attribute is not used for EquivalentBranch, EquivalentShunt and EquivalentInjection.",Not allowed property (attribute).,"
                PREFIX cim: <http://iec.ch/TC57/CIM100#>
                PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
                PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>..."
C:301:EQ:Equipment.aggregate:notUsed,urn:uuid:15c8a8ad-08d5-4b59-8417-db80e273bd1a,sparql,http://iec.ch/TC57/CIM100#Equipment.aggregate,,SPARQL condition,urn:uuid:1b65ada7-39ca-42b8-a278-39c457ed82c3,Violation,"The attribute is not used for EquivalentBranch, EquivalentShunt and EquivalentInjection.",Not allowed property (attribute).,"
                PREFIX cim: <http://iec.ch/TC57/CIM100#>
                PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
                PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>..."
C:301:EQ:Equipment.aggregate:notUsed,urn:uuid:15c8a8ad-08d5-4b59-8417-db80e273bd1a,sparql,http://iec.ch/TC57/CIM100#Equipment.aggregate,,SPARQL condition,2025-02-06T14:18:22Z,Violation,"The attribute is not used for EquivalentBranch, EquivalentShunt and EquivalentInjection.",Not allowed property (attribute).,"
                PREFIX cim: <http://iec.ch/TC57/CIM100#>
                PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
                PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>..."
C:301:EQ:Equipment.aggregate:notUsed,urn:uuid:15c8a8ad-08d5-4b59-8417-db80e273bd1a,sparql,http://iec.ch/TC57/CIM100#Equipment.aggregate,,SPARQL condition,"The equipment dataset of Belgovia, which is part of the ReliCapGrid.",Violation,"The attribute is not used for EquivalentBranch, EquivalentShunt and EquivalentInjection.",Not allowed property (attribute).,"
                PREFIX cim: <http://iec.ch/TC57/CIM100#>
                PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
                PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>..."
